Date,Month,Client Name,Insurer Name,Policy Type,Premium,Commission,Policy No
2021-01-31,January,Client 1000,MAYFAIR INSURANCE,CONTRACTOR'S ALL RISKS,480000,72000.0,POL-249417
2021-01-31,January,Client 1001,MAYFAIR INSURANCE,CONTRACTOR'S ALL RISKS,480000,72000.0,POL-312534
2021-01-31,January,Client 1002,BRITAM,MOTOR PRIVATE,76620,7662.0,POL-321001
2021-01-31,January,Client 1003,M.U.A,Bid Bond,16000,1600.0,POL-524643
2021-01-31,January,Client 1004,M.U.A,Bid Bond,16000,1600.0,POL-933948
2021-01-31,January,Client 1005,SONARWA GENERAL INSURANCE COMPANY Ltd,MOTOR PRIVATE,49470,4947.0,POL-842759
2021-01-31,January,Client 1006,BRITAM,WORKMEN'S COMPENSATION,216000,21600.0,POL-584041
2021-01-31,January,Client 1007,MAYFAIR INSURANCE,MOTOR PRIVATE,50800,5080.0,POL-426583
2021-01-31,January,Client 1008,M.U.A,FIRE & SPECIAL PERILS,1081187,108118.7,POL-506106
2021-01-20,January,Client 1009,BRITAM,PUBLIC LIABILITY,145000,21750.0,POL-130071
2021-01-20,January,Client 1010,BRITAM,FIRE,165000,16500.0,POL-749697
2021-01-20,January,Client 1011,BRITAM,MOTOR PRIVATE,41850,4185.0,POL-408236
2021-01-20,January,Client 1012,UAP RWANDA,MOTOR PRIVATE,12109,1210.9,POL-586665
2021-01-20,January,Client 1013,M.U.A,PROFESSIONAL INDEMNITY,5000,500.0,POL-769517
2021-01-25,January,Client 1014,UAP RWANDA,MEDICAL,27445950,2744595.0,POL-361784
2021-01-25,January,Client 1015,M.U.A,GROUP PERSONAL ACCIDENT,300000,45000.0,POL-615435
2021-02-20,February,Client 1016,BK INSURANCE,MOTOR PRIVATE,952390,142858.5,POL-243413
2021-02-20,February,Client 1017,BK INSURANCE,MOTOR PRIVATE,33182,3318.2,POL-588030
2021-02-27,February,Client 1018,M.U.A,MOTOR PRIVATE,32550,3255.0,POL-605661
2021-02-20,February,Client 1019,SONARWA GENERAL INSURANCE COMPANY Ltd,MOTOR PRIVATE,76620,7662.0,POL-601843
2021-02-20,February,Client 1020,SANLAM AG,MOTOR PRIVATE,50500,5050.0,POL-269681
2021-02-20,February,Client 1021,M.U.A,GROUP PERSONAL ACCIDENT,135000,20250.0,POL-356825
2021-02-22,February,Client 1022,UAP RWANDA,CONSEQUENTIAL LOSS,2000000,300000.0,POL-725270
2021-02-22,February,Client 1023,UAP RWANDA,FIRE & SPECIAL PERILS,11986432,1198643.2,POL-812225
2021-02-22,February,Client 1024,UAP RWANDA,FIDELITY GUARANTEE,500000,75000.0,POL-842256
2021-02-22,February,Client 1025,UAP RWANDA,ELECTRONICS AND ELECTRICAL EQUIPMENTS,3427125,514068.75,POL-867133
2021-02-20,February,Client 1026,UAP RWANDA,ALL RISKS,8453752,1268062.8,POL-764128
2021-02-22,February,Client 1027,UAP RWANDA,PUBLIC LIABILITY,2000000,200000.0,POL-830437
2021-03-31,March,Client 1028,BK INSURANCE,MOTOR PRIVATE,16275,1627.5,POL-232287
2021-03-31,March,Client 1029,M.U.A,Bid Bond,14000,1400.0,POL-721454
2021-03-31,March,Client 1030,M.U.A,TRAVEL INSURANCE,17066,2559.9,POL-804551
2021-03-31,March,Client 1031,SANLAM AG,MOTOR PRIVATE,2760800,414120.0,POL-279454
2021-03-31,March,Client 1032,SANLAM AG,MOTOR PRIVATE,50800,5080.0,POL-921322
2021-04-27,April,Client 1033,UAP RWANDA,FIRE,238803,35820.45,POL-933999
2021-01-20,January,Client 1034,UAP RWANDA,MEDICAL,9003882,900388.2,POL-982003
2021-02-22,February,Client 1035,PRIME LIFE ASSURANCE,GROUP LIFE,1279750,191962.5,POL-109551
2021-02-20,February,Client 1036,M.U.A,MOTOR PRIVATE,49470,4947.0,POL-428871
2021-04-27,April,Client 1037,PRIME INSURANCE,MOTOR PRIVATE,49470,4947.0,POL-490173
2021-05-31,May,Client 1038,RADIANT INSURANCE COMPANY,MOTOR PRIVATE,47550,4755.0,POL-132458
2021-01-20,January,Client 1039,SANLAM AG,MOTOR PRIVATE,2489750,373462.5,POL-629059
2021-01-20,January,Client 1040,SANLAM AG,MOTOR PRIVATE,2426250,363937.5,POL-553573
2021-01-20,January,Client 1041,SANLAM AG,MOTOR PRIVATE,63500,6350.0,POL-374051
2021-01-20,January,Client 1042,SANLAM AG,MOTOR PRIVATE,63500,6350.0,POL-753093
2021-04-27,April,Client 1043,MAYFAIR INSURANCE,MOTOR PRIVATE,76620,7662.0,POL-646007
2021-04-27,April,Client 1044,UAP RWANDA,MOTOR PRIVATE,76200,7620.0,POL-982159
2021-04-27,April,Client 1045,UAP RWANDA,MOTOR PRIVATE,955350,143302.5,POL-466648
2021-04-27,April,Client 1046,M.U.A,MOTOR PRIVATE,68460,6846.0,POL-901268
2021-04-27,April,Client 1047,UAP RWANDA,MEDICAL,531600,53160.0,POL-414609
2021-05-31,May,Client 1048,M.U.A,MOTOR PRIVATE,68460,6846.0,POL-410162
2021-06-30,June,Client 1049,M.U.A,Bid Bond,42832,4283.2,POL-789748
2021-06-30,June,Client 1050,M.U.A,Bid Bond,39640,3964.0,POL-455991
2021-06-30,June,Client 1051,M.U.A,Bid Bond,40000,4000.0,POL-309523
2021-06-30,June,Client 1052,UAP RWANDA,MEDICAL,654150,65415.0,POL-427249
2021-06-30,June,Client 1053,M.U.A,Bid Bond,24000,2400.0,POL-722875
2021-06-30,June,Client 1054,MAYFAIR INSURANCE,MACHINERY BREAKDOWN,180000,18000.0,POL-180282
2021-06-30,June,Client 1055,MAYFAIR INSURANCE,FIRE & SPECIAL PERILS,373340,37334.0,POL-635531
2021-06-30,June,Client 1056,MAYFAIR INSURANCE,GROUP PERSONAL ACCIDENT,147000,14700.0,POL-700303
2021-06-30,June,Client 1057,MAYFAIR INSURANCE,PERSONAL ACCIDENT,70000,10500.0,POL-483427
2021-06-30,June,Client 1058,MAYFAIR INSURANCE,MOTOR PRIVATE,38310,3831.0,POL-955175
2021-01-20,January,Client 1059,M.U.A,MOTOR PRIVATE,32550,3255.0,POL-240484
2021-02-20,February,Client 1060,M.U.A,PROFESSIONAL INDEMNITY,200000,30000.0,POL-633273
2021-05-31,May,Client 1061,M.U.A,PERFORMANCE BOND,96038,9603.8,POL-811038
2021-05-31,May,Client 1062,M.U.A,Bid Bond,8000,800.0,POL-349451
2021-06-30,June,Client 1063,MAYFAIR INSURANCE,MOTOR PRIVATE,109250,10925.0,POL-776077
2021-06-30,June,Client 1064,MAYFAIR INSURANCE,MOTOR PRIVATE,81938,8193.8,POL-977699
2021-06-30,June,Client 1065,MAYFAIR INSURANCE,MOTOR PRIVATE,90900,9090.0,POL-454993
2021-06-30,June,Client 1066,MAYFAIR INSURANCE,MOTOR PRIVATE,27313,2731.3,POL-770541
2021-02-20,February,Client 1067,M.U.A,FIRE & SPECIAL PERILS,51221,5122.1,POL-731134
2021-02-20,February,Client 1068,M.U.A,FIRE & SPECIAL PERILS,29616,4442.4,POL-838742
2021-05-31,May,Client 1069,BRITAM,MEDICAL,174483936,17448393.6,POL-508271
2021-05-31,May,Client 1070,BRITAM,MEDICAL,338877112,33887711.2,POL-665125
2021-05-31,May,Client 1071,BK INSURANCE,ALL RISKS,2278816,341822.4,POL-749860
2021-05-31,May,Client 1072,BK INSURANCE,ALL RISKS,6645706,996855.9,POL-254075
2021-05-31,May,Client 1073,BK INSURANCE,ALL RISKS,4336645,650496.75,POL-496529
2021-05-31,May,Client 1074,BK INSURANCE,ALL RISKS,559806,83970.9,POL-789989
2021-05-31,May,Client 1075,RADIANT INSURANCE COMPANY,MOTOR PRIVATE,16275,1627.5,POL-441165
2021-05-31,May,Client 1076,M.U.A,Bid Bond,5000000,500000.0,POL-659742
2021-05-31,May,Client 1077,UAP RWANDA,WORKMEN'S COMPENSATION,822500,82250.0,POL-932131
2021-05-31,May,Client 1078,MAYFAIR INSURANCE,PROFESSIONAL INDEMNITY,1500000,150000.0,POL-120532
2021-05-31,May,Client 1079,PRIME LIFE ASSURANCE,LOAN PROTECTION,12333858,1850078.7,POL-644185
2021-06-30,June,Client 1080,M.U.A,Bid Bond,100000,10000.0,POL-515493
2021-06-30,June,Client 1081,UAP RWANDA,MEDICAL,3494748,349474.8,POL-615222
2021-06-30,June,Client 1082,UAP RWANDA,MEDICAL,683911,68391.1,POL-522126
2021-06-30,June,Client 1083,UAP RWANDA,MEDICAL,748363,74836.3,POL-463660
2021-06-30,June,Client 1084,UAP RWANDA,MEDICAL,1747374,174737.4,POL-762531
2021-04-27,April,Client 1085,M.U.A,ALL RISKS,442567,66385.05,POL-782868
2021-04-27,April,Client 1086,MAYFAIR INSURANCE,FIRE & SPECIAL PERILS,282942,42441.3,POL-474165
2021-04-27,April,Client 1087,MAYFAIR INSURANCE,FIRE & SPECIAL PERILS,1471800,147180.0,POL-450385
2021-04-27,April,Client 1088,MAYFAIR INSURANCE,FIRE & SPECIAL PERILS,10814,1622.1,POL-556558
2021-04-27,April,Client 1089,MAYFAIR INSURANCE,FIRE & SPECIAL PERILS,248171,37225.65,POL-655669
2021-04-27,April,Client 1090,PRIME INSURANCE,FIRE & SPECIAL PERILS,199185,29877.75,POL-719592
2021-04-27,April,Client 1091,MAYFAIR INSURANCE,FIRE & SPECIAL PERILS,37191,5578.65,POL-944594
2021-04-27,April,Client 1092,RADIANT INSURANCE COMPANY,FIRE & SPECIAL PERILS,52500,7875.0,POL-975452
2021-04-27,April,Client 1093,PRIME INSURANCE,FIRE & SPECIAL PERILS,188400,28260.0,POL-356063
2021-06-30,June,Client 1094,MAYFAIR INSURANCE,FIRE & SPECIAL PERILS,46143,6921.45,POL-179646
2021-06-30,June,Client 1095,MAYFAIR INSURANCE,FIRE & SPECIAL PERILS,18910,2836.5,POL-890715
2021-06-30,June,Client 1096,MAYFAIR INSURANCE,FIRE & SPECIAL PERILS,31377,3137.7,POL-223881
2021-06-30,June,Client 1097,SANLAM AG,FIRE & SPECIAL PERILS,69197,6919.7,POL-583517
2021-06-30,June,Client 1098,SANLAM AG,FIRE & SPECIAL PERILS,17273,2590.95,POL-833740
2021-06-30,June,Client 1099,MAYFAIR INSURANCE,FIRE & SPECIAL PERILS,95843,14376.45,POL-371223
2021-06-30,June,Client 1100,MAYFAIR INSURANCE,FIRE & SPECIAL PERILS,88539,13280.85,POL-144150
2021-06-30,June,Client 1101,MAYFAIR INSURANCE,FIRE & SPECIAL PERILS,32678,4901.7,POL-802649
